ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,TotalAmountSpent,TotalNumPurchases,AvgCostperCart,AcceptedCmpTotal,Household,Month,DaysSinceJoin
5524,59,2,0,58138.0,0,0,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,1,1617.0,32.0,50.53,0,1,4,1362
2174,62,2,0,46344.0,1,1,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,0,27.0,11.0,2.45,0,3,8,516
4141,51,2,1,71613.0,0,0,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,0,776.0,25.0,31.04,0,2,8,863
6182,32,2,1,26646.0,1,0,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,0,53.0,14.0,3.79,0,3,10,456
5324,35,3,1,58293.0,1,0,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,0,422.0,24.0,17.58,0,3,1,712
7446,49,3,1,62513.0,0,1,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,0,716.0,28.0,25.57,0,3,9,844
965,45,2,0,55635.0,0,1,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,0,590.0,27.0,21.85,0,2,11,1144
6177,31,3,1,33454.0,1,0,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,0,169.0,18.0,9.39,0,3,8,879
4855,42,3,1,30351.0,1,0,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,1,46.0,15.0,3.07,0,3,6,939
5899,66,3,1,5648.0,1,1,68,28,0,6,1.0,1,13.0,1,1,0,0,13,1,0,0,0,0,0,0,49.0,22.0,2.23,1,4,3,659
1994,33,2,1,51381.5,1,0,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,0,19.0,11.0,1.73,0,3,11,777
387,40,1,1,7500.0,0,0,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,0,61.0,14.0,4.36,0,2,11,1144
2125,57,2,0,63033.0,0,0,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,0,1102.0,18.0,61.22,0,1,11,777
8180,64,3,0,59354.0,1,1,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,0,310.0,21.0,14.76,0,3,11,777
2569,29,2,1,17323.0,0,0,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,0,46.0,13.0,3.54,0,2,10,1178
2114,70,3,0,82800.0,0,0,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,1,1,0,0,1,1315.0,29.0,45.34,2,1,11,1133
9736,36,2,1,41850.0,1,1,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,0,96.0,17.0,5.65,0,4,12,1103
4939,70,2,1,37760.0,0,0,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,0,317.0,20.0,15.85,0,2,8,1218
6565,67,3,1,76995.0,0,1,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,1,0,0,0,1782.0,31.0,57.48,1,3,3,1009
2278,31,3,0,33812.0,1,0,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,0,133.0,14.0,9.5,0,2,3,1391
9360,34,2,1,37040.0,0,0,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,0,316.0,20.0,15.8,0,2,8,1241
5376,37,2,1,2447.0,1,0,42,1,1,556,1.0,1,1.0,6,0,10,0,1,0,0,0,0,0,0,0,1730.0,41.5,39.32,0,3,6,944
1993,67,3,1,58607.0,0,1,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,1,0,0,0,0,0,972.0,25.0,38.88,1,3,12,1104
4047,62,3,1,65324.0,0,1,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,0,544.0,24.0,22.67,0,3,11,426
1409,65,2,1,40689.0,0,1,69,270,3,27,39.0,6,99.0,6,7,1,5,8,0,0,0,0,0,0,0,444.0,28.0,15.86,0,3,3,1019
7892,47,2,0,18589.0,0,0,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,0,75.0,15.0,5.0,0,1,2,1064
2404,40,2,1,53359.0,1,1,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,0,257.0,21.0,12.24,0,4,5,949
5255,30,2,0,51381.5,1,0,19,5,1,3,3.0,81,126.5,0,12,0,0,1,0,0,0,0,0,0,0,637.0,28.0,22.75,0,2,2,1045
9422,27,2,1,38360.0,1,0,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,0,131.0,12.0,10.92,0,3,5,945
1966,51,3,1,84618.0,0,0,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,1,0,0,0,0,1672.0,28.0,59.71,1,2,11,770
6864,27,3,0,10979.0,0,0,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,0,30.0,13.0,2.31,0,1,5,589
3033,53,3,1,38620.0,0,0,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,0,318.0,14.0,22.71,0,2,11,787
5710,46,2,1,40548.0,0,1,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,1,0,0,0,0,0,120.0,14.0,8.57,1,3,10,1178
7373,64,3,0,46610.0,0,2,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,1,302.0,23.0,13.13,0,3,10,1159
8755,70,3,1,68657.0,0,0,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,0,1196.0,25.0,47.84,0,2,2,1045
10738,65,3,0,49389.0,1,1,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,0,65.0,13.0,5.0,0,3,8,855
4339,46,3,1,67353.0,0,1,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,0,913.0,30.0,30.43,0,3,12,731
10755,40,3,1,23718.0,1,0,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,0,81.0,16.0,5.06,0,3,2,1056
8595,43,2,0,42429.0,0,1,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,0,67.0,12.0,5.58,0,2,11,425
2968,73,3,0,48948.0,0,0,53,437,8,206,120.5,49,42.0,2,7,10,5,6,1,0,0,0,0,0,1,902.0,30.0,30.07,1,1,1,1094
8601,36,2,1,80011.0,0,1,3,421,76,536,82.0,81,102.0,2,8,6,5,4,0,0,0,0,0,0,0,1395.0,25.0,55.8,0,3,4,977
503,31,3,1,20559.0,1,0,88,13,1,29,3.0,0,7.0,2,2,0,3,8,0,0,0,0,0,0,0,53.0,15.0,3.53,0,3,12,759
8430,59,2,1,21994.0,0,1,4,9,0,6,3.0,1,3.0,1,0,0,3,5,0,0,0,0,0,0,0,22.0,9.0,2.44,0,3,12,1103
7281,57,3,0,51381.5,0,0,80,81,11,50,3.0,2,39.0,1,1,3,4,2,0,0,0,0,0,0,0,186.0,11.0,16.91,0,1,5,965
2139,41,3,1,7500.0,1,0,19,3,1,10,3.0,2,12.0,3,2,0,3,5,0,0,0,0,0,0,0,31.0,13.0,2.38,0,3,2,1055
1371,40,2,0,79941.0,0,0,72,123,81,266,120.5,30,126.5,1,2,4,9,1,0,0,0,0,0,0,0,984.0,17.0,57.88,0,1,6,552
9909,20,3,1,7500.0,0,0,24,3,18,14,15.0,22,50.0,3,3,1,3,9,0,0,0,0,0,0,1,122.0,19.0,6.42,0,2,9,1207
7286,48,2,1,41728.0,1,0,92,13,6,15,3.0,5,13.0,1,2,0,2,10,0,0,0,0,0,0,0,55.0,15.0,3.67,0,3,5,952
7244,65,2,0,51381.5,2,1,96,48,5,48,6.0,10,7.0,3,2,1,4,6,0,0,0,0,0,0,0,124.0,16.0,7.75,0,4,1,730
6566,62,3,1,72550.0,1,1,39,826,50,317,50.0,38,38.0,6,5,2,12,8,0,0,0,0,0,0,0,1319.0,36.0,36.64,0,4,8,1238
8614,59,2,0,65486.0,0,1,29,245,19,125,37.0,67,14.0,1,4,2,10,2,0,0,0,0,0,0,0,507.0,19.0,26.68,0,2,12,392
4114,52,3,1,79143.0,0,0,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,0,1693.0,32.0,52.91,0,2,11,1149
1331,39,2,0,35790.0,1,0,54,12,6,20,30.0,1,3.0,2,2,0,3,7,0,0,0,0,0,0,0,72.0,14.0,5.14,0,2,2,1064
2225,39,2,0,82582.0,0,0,54,510,81,550,120.5,40,126.5,1,4,9,7,1,1,0,0,1,0,0,1,1617.0,22.0,73.5,2,1,7,544
9381,38,2,1,66373.0,1,1,57,328,9,124,12.0,24,109.0,6,4,2,10,3,0,0,0,0,0,0,0,606.0,26.0,23.31,0,4,12,756
6260,61,3,1,82384.0,0,0,55,984,51,432,120.5,81,126.5,1,3,10,13,1,0,0,1,0,0,0,1,1957.0,28.0,69.89,1,2,11,1138
10383,50,2,0,70287.0,0,0,30,295,35,482,120.5,81,40.0,1,5,5,10,3,0,0,0,0,0,0,1,1093.0,24.0,45.54,0,1,2,1061
7437,28,2,0,27938.0,1,0,31,13,0,8,2.0,1,5.0,1,1,0,4,3,0,0,0,0,0,0,0,29.0,9.0,3.22,0,2,4,613
8557,34,2,0,51381.5,1,0,57,11,3,22,2.0,2,6.0,2,2,0,3,6,0,0,0,0,0,0,0,46.0,13.0,3.54,0,2,6,928
8375,48,3,1,55954.0,0,1,63,447,0,28,0.0,0,43.0,3,8,2,6,7,0,0,0,0,0,0,0,518.0,26.0,19.92,0,3,3,669
6853,34,3,0,75777.0,0,0,12,712,26,538,69.0,13,80.0,1,3,6,11,1,0,1,1,0,0,0,1,1438.0,22.0,65.36,2,1,4,999
3076,41,2,1,66653.0,1,1,18,452,18,102,16.0,18,6.0,4,4,2,12,3,0,0,0,0,0,0,0,612.0,25.0,24.48,0,4,7,1271
